Seed,Dataset,Model,Sequence Length,Embedding Size,Memory Usage (MB),Training Time (seconds),Training Time per Epoch (seconds),NDCG@10,HIT@10
42,ML-20M,Cotten4Rec,200,128,8728,1412,71,0.739,0.934
42,ML-20M,Cotten4Rec,200,256,9606,2625,131,0.773,0.948
123,ML-20M,Cotten4Rec,50,64,2119,546,27,0.698,0.913
123,ML-20M,Cotten4Rec,50,128,2266,603,30,0.736,0.929
123,ML-20M,Cotten4Rec,50,256,2561,898,45,0.762,0.936
123,ML-20M,Cotten4Rec,100,64,4175,724,36,0.701,0.913
123,ML-20M,Cotten4Rec,100,128,4427,922,46,0.741,0.932
123,ML-20M,Cotten4Rec,100,256,4901,1530,76,0.769,0.941
123,ML-20M,Cotten4Rec,200,64,8296,1103,55,0.698,0.918
123,ML-20M,Cotten4Rec,200,128,8728,1459,73,0.740,0.934
123,ML-20M,Cotten4Rec,200,256,9606,2725,136,0.768,0.941
0,ML-20M,LinRec,50,64,2792,629,31,0.720,0.922
0,ML-20M,LinRec,50,128,2961,728,36,0.754,0.936
0,ML-20M,LinRec,50,256,3316,1029,51,0.777,0.940
0,ML-20M,LinRec,100,64,5521,906,45,0.723,0.927
0,ML-20M,LinRec,100,128,5817,1141,57,0.756,0.940
0,ML-20M,LinRec,100,256,6388,1730,87,0.787,0.946
0,ML-20M,LinRec,200,64,10993,1511,76,0.714,0.927
0,ML-20M,LinRec,200,128,11505,1992,100,0.755,0.940
0,ML-20M,LinRec,200,256,12584,3142,157,0.781,0.947
42,ML-20M,LinRec,50,64,2792,658,33,0.721,0.923
42,ML-20M,LinRec,50,128,2961,764,38,0.753,0.936
42,ML-20M,LinRec,50,256,3316,1058,53,0.775,0.940
42,ML-20M,LinRec,100,64,5521,933,47,0.721,0.926
42,ML-20M,LinRec,100,128,5817,1167,58,0.756,0.939
42,ML-20M,LinRec,100,256,6388,1772,89,0.781,0.944
42,ML-20M,LinRec,200,64,10993,1527,76,0.721,0.926
